Abbreviation,Meaning,Example
ለም/ቤት,ለምክር ቤት,ም/ጠ/ሚ/ር እና የገጠር ልማት ሚ/ር አቶ አዲሱ ለገሠ ባለፈው ሐሙስ ለም/ቤት ባቀረቡት ሪፖርት መስሪያ ቤታቸው ባለፉት ጥቂት ወራት ለገበሬው በቂ ማዳበሪያ የሚያገኝበትን መንገድ ማመቻቸቱን ገልፀዋል። ነገር ግን በም/ቤቱ የመአህድ ተወካይ የሆኑት ክብሩ አቶ አድማሱ መላኩና ሌሎችም አባላት የማዳበሪያ ስርጭቱና የሕወሐት የንግድ ድርጅቶች ተቆጣጥረውት አንጋፋ የነበሩ ማዳበሪያ አቅራቢ የግል ድርጅቶች ከገበያ መውጣታቸውን አስረድተዋል። በምሳሌነትም የኢትዮጵያ አማልጋሜትድ ሊሚትድን ጠቅሠዋል።
ለምስ/መካ,ለምስራቅና መካከለኛ, ለምስ/መካ/ አፍሪካ ዋንጫ ዝግጅት የሚኒስቴር መስሪያ ቤቱ ትብብር አደርጋለሁ አለ
ለብ/ጄ/ል,ለብርጋዴል ጄኔራል ,"በተለይም የሜ/ጄ/ል ኃየሎም አርአያ ገዳይ የሆነው ጀሚል ያሲን ላይ እርምጃ ሳይወሰድ በመቆየቱ ""ነግ ባንተ ላይ ነው!"" የሚል ማስጠንቀቂያ ለብ/ጄ/ል ሳሞራ የኑስ በካሴት ተቀርጾ በተላለፈ የትግሪኛ ቀስቃሽ ግጥም ተላልፎላቸዋል። በዚሁ የትግሪኛ ካሴት ላይ እንደተገለፀው ከሆነ ኃየሎም ለሳሞራ ""ሓክፈኑ ላይ የዋለለትን የነፍስ ውለታ በማስታወስ፣ ያለእሱ የጄኔራልነት ወንበር እንዴት ይሞቅሃል? ኃየሎም ልብስህ ነበር። አሁንም የኃየሎም ሞት ካልተጣራ ነገ ያንተ ተራ ነው፣ የሚል ይገኝበታል።"
ለተ/መ/ድ,ለተባበሩት መንግስታት ድርጅት, «... እኛ የተቀጠርነው፣ የምንሰለጥነውም ሆነ የገባነው ቃል ኪዳን ድንበርንና አገርን ከወረራ ኃይል ለመጠበቅና ለመከላከል እንጂ የራሳችንን ህዝብ ለመግደል አይደለም» በማለት ስምንቱ የአየር ኃይል አብራሪዎች በቤላሩስ ለተ/መ/ድ የስደተኞች ከፍተኛ ኮሚሽን ያቀረቡት የፖለቲካ ጥገኝነት ጥያቄ ተቀባይነት ማግኘቱን የአሜሪካ ሬዲዮ ገልጿል።
ለአ/አ,ለአዲስ አበባ,የእነአመልካች ጠበቃ እስረኞቹ ለምን እንደታሰሩ አሳሪው ማስረጃ ስላላስረዳ እስረኞቹ እዚሁ በችሎቱ ሊለቀቁ ይገባል ብለዋል። በተጨማሪም መጥሪያውን እኔ ራሴ ለአ/አ ማ/ቤት በ12/2/94 ነበር ያደረስኩት በማለት መጥሪያውን ያደረሱበት ማረጋገጫ አቅርበዋል። ወህኒ ቤቱ በታዘዘው መሰረት እስረኞቹ የተያዙበትን ምክንያት ያላስረዳ በመሆኑ እዚሁ በፍ/ብ/ስ/ሥ/ ቁጥር 177 መሠረት እንዲለቀቁ ይታዘዝልን ብለዋል።
ለአ/አበባ,ለአዲስ አበባ,በዚህ መሐል ሐሙስ ታሕሳስ 11 ቀን 1994 ዓ.ም ከመንበረ ፓትርያርኩ ጠቅላይ ፅ/ቤት በቁጥር 1405/288/94 «የኢትዮጵያ ኦርቶዶክስ ተዋህዶ ቤተክርስቲያን ምዕመናን አንድነት ማሕበር የሚባለው ሕገ-ወጥ ነው» የሚል ደብዳቤ ለአ/አበባ መስተዳድር የስብሰባና ሰላማዊ ሰልፍ ፈቃድ ክፍል ይፃፋል። መስተዳድሩ ይኸው ደብዳቤ እንደደረሰው በማግስቱ አርብ ታሕሳስ 12 ቀን 1994 ዓ.ም በቁጥር አመሰማ/179/94 «ለእነ ቀኛዝማች የሻወርቅ ኃይሉ» በሚል አድራሻ ደብዳቤ በመፃፍ ለስብሰባው የተሰጠው ፈቃድ መሠረዙን ይገልፃል።
ለአቶ/ወ/ሮ/ወ/ት,ለአቶ/ወይዘሮ/ወይዘሪት,ጥሪ የተደረገላቸውና በአዲስ አበባ የሚኖሩ ነጋዴዎች፣ ዛሬ ሚያዝያ 28 ከቀኑ 7፡30 ሰዓት አንስቶ በጠ/ሚ/ሩ የስብሰባ አዳራሽ፣ ከጠ/ሚ/ሩ የስብሰባ አዳራሽ፣ ከጠ/ሚ/ር መለስ ዜናዊ ጋር እንዲወያዩ ዕቅድ መያዙን ለማወቅ ተችሏል። ለነጋዴዎቹ የተባለው የጥሪ ወረቀት እንዲህ ይላል የስብሰባ ጥሪ ለአቶ/ወ/ሮ/ወ/ት 
ለኢ/ን/ምክር,ለኢትዮጵያ ንግድ ምክር,"የኢትዮጵያ ንግድ ምክር ቤት አባላት በጊዜያዊ ፀብ ተነሳስተው የግለሰቦችን ስብዕና የሚነካ መግለጫዎችን በማውጣታቸውም ትዝብት ላይ ሳይጥላቸው እንዳልቀረ የብዙዎች አስተያየት ነው። አቶ ሚካኤል አስፍሃ ለኢ/ን/ምክር ቤት ም/ፕሬዘዳንት በግልፅ ደብዳቤያቸው ""የንፁሃን ዜጐችን መብት በመግፈፍ ኤርትራዊ ነው ማለት ወንጀል ነው ማለታቸውም እዚህ ላይ የሚጠቀስ ነው።"
ለኢ/ኦ/ተ/ቤተ,ለኢትዮጵያ ኦርቶዶክስ ተዋህዶ ቤተ,የግሪክ ኦ/ቤተ- ክርስቲያን ለኢ/ኦ/ተ/ቤተ- ክርስቲያን መነኮሳትና ካህናት ነፃ የመንፈሳዊ ትምህርት ዕድል በመስጠት ስታስተምርና ስታሰለጥን መቆየቷም የሚታወስ ነው። በጳጳስ ደረጃም ባይሆን በካህን ደረጃ መድባ በግሪክ የሚኖሩ ኢትዮጵያውያን መንፈሳዊ አገልግሎት እንዲያገኙ ስታደርግ ትቆይ እንጂ በቅርብ ጊዜ ግን የኢትዮጵያ ኦ/ተ/ቤተ- ክርስቲያን በቅርቡ ከሾመቻቸው ጳጳሳት መካከል ለ16 ዓመታት ያህል በከፍተኛ መንፈሳዊ ትምህርትና ክህነታዊ አገልግሎት ላይ የቆዩትን አቡነ ዮሐንስ (ቆመስ አባ ገ/ዮሐንስ) መንበረ ጵጵስናቸውን አቴንስ (ግሪክ) በማድረግ መድባ ነበር።
ለወ/ሮ,ለወይዘሮ,በሁለቱ በደቡብ ጐንደር ጠ/ቤ/ክህነት የተወከሉት ግለሰቦች የወጣውን ከ10ሺህ ቶን በላይ ቡና ለወ/ሮ ሻዲያ በመሸጥ 1ኛ/ አቶ ጉልላት ጥላሁነ2ኛ/ ለአቶ ታምራት ላይኔና ለቤተክህነት ፀሐፊ ለአቶ ገዛኸኝ ላይኔ 3ኛ/ ለቤተ ክህነት ለአቶ ተወልደ በነአቶ ታደለ በኩል ይከፋፈላል።
ለወ/ት,ለወይዘሪት,ወ/ት ብርቱካን ይቅርታው የተከናወነው በሽማግሌዎች የእርቅ ማግባቢያ መንገድ ነው በማለታቸው የሂደቱን ሐቅ ከማረጋገጥ ሌላ የትኛውንም ቅድመ ሁኔታ የሚጥስ አይደለም። የፍትሕ ሚኒስቴር የጠቀሰው አንቀፅ ጉልህ ስህተት መሆኑን በመረዳቱ ይመስላል 48 ሰዓት ባልሞላ ጊዜ ውስጥ ከመጀመሪያው መግለጫ የተቃረነ ሌላ መግለጫ አወጣ። ፍትሕ ሚኒስትር... ይቅርታ ለማንሳት ለውሳኔው መሰረት የሆኑት የአዋጁ አንቀፅ 4/3/ እና 10/2/ እንደሆኑ ገለፀ። ከእነዚህ አንቀፆች አኳያም ቢሆን የተጣለ ነገር እንደሌለ ግልፅ ነው። ፓርቲያችን ለወ/ት ብርቱካን የተሰጠው ይቅርታ የተሰረዘው ከሕግም ከሐቅም ውጭ ነው።
ለዶ/ር,ለዶክርተር,በኢህአዴግ ጽ/ቤት ኃላፊ በወ/ሮ ገነት ታደሰ ፊርማ በቁጥር ኢህ/0019/96 ነሐሴ 18 ቀን 1996 በቀጥታ ለኅብረቱ ሊቀመንበር ለዶ/ር መራራ ጉዲና በተፃፈው ደብዳቤ ላይ ኢሕአዴግ ለውይይት ዝግጁ መሆኑን ጠቅሶ በውይይቱ ፓርቲው ወክለው የማስታወቂይ ሚኒስትሩ አቶ በረከት ስምዖን እና የደኢህዴግ የቅስቀሳና ፕሮፖጋንዳ ኃላፊ እና የደቡብ ክልል የማስታወቂያ ቢሮ ኃላፊ አቶ ፀጋዬ ማሞ ከኅብረቱ መሪዎች ጋር እንዲወያዩ መመደባቸው ተገልጿል።
ለጠ/ሚ,ለጠቅላይ ሚኒስቴር,ድንገት ባልታሰበ ጊዜ እንዲዘጋ የተወሰነው የቡና ግዢና ሸያጭ ሰራተኞች ቅሮታቸውን ለጠ/ሚ/ መለስ ዜናዊ ገለፁ። በሌላ በኩልም ድርጅቱ በየመጋዘኑ የነበሩትን ቡናዎች ዝቅተኛ በሆነ ዋጋ እየሸጠ መሆኑ ታውቋል። ይህን የሚያደርጉት ደግሞ ድርጅቱ ንብረት የለውም ለማለት እንደሆነ አንዱንድ ምንጮች ገልፀዋል። ብዙህዋችን ያስያዘ ነው ደግሞ በተለየ በዚህ ወቅት ሰራተኞችን ከስራ ገበታቸው ላይ እንዲፈናቀሉ መደረጉ ነው።
ለጠ/ሚ/መለስ,ለጠቅላይ ሚኒስቴር መለስ,ቅሬታቸውን ለጠ/ሚ/መለስ ዜናዊ ገለፁ
ለጠ/ሚ/ሩ,ለጠቅላይ ሚኒስቴሩ,"ክቡር ሆይ ""ክቡር ሆይ"" በማለት ተደጋጋሚ የልምምጥ ቃላት የሰፈሩበት ለጠ/ሚ/ሩ የተጻፈው ፊያሜታን የማሳገጃ ደብዳቤ ፓትርያርኩ በክስ የጀመሩት የማጥቃት ዘመቻ አላረካቸው ሲል በሃይማኖት ሽፋን በጋዜጣው የሚተላለፉትን የልዩ ልዩ ሃይማኖታዊ አስተያየቶችንና ጽሑፎችን በማስታከክ አዲስ የጥቃት ስልት ቀይሰው እንደሆነም ለማወቅ ችለናል። ለሃይማኖት ተቆርቋሪ መስለው በአንዳንድ አብያተ ክርስቲያናት ፊያሜታን የሚያጥላሉ ሰዎች ተመድበው እንደነበርና በትምህርት ሰዓት ለምዕመናን ፊያሜታ ጋዜጣን እንዳይገዙ የውሸት ቃላት በመጨመር መልዕክት ያስተላልፉ እንደነበር አንዳንድ ወገኖች ገልፀዋል።"
ለጠ/ሚ/ሩና,ለጠቅላይ ሚኒስትሩና,"ተስፋዬ ተንኮሉ ከፍርድ በኋላ ""የተፈረደብኝ ፍርድ አግባብ አይደለም በዚህ ችሎት አልዳኝም"" ብሎ ችሎት ረግጦ በመውጣቱ ቀደም ሲል በእስር ላይ የቆየበት 2 ዓመት ውድቅ ሆኖ ተጨማሪ 3 ዓመት እስር እንደተፈረደበት ለጠ/ሚ/ሩና በሌሎች አካላት ከቀረበው ማመልከቻ ለማወቅ ተችሏል። በዚህ መሠረት 15 ዓመት ፍርድ ተበይኖበታል።"
ለጠ/ሚ/ር,ለጠቅላይ ሚኒስቴር,በተለይም የመላው ኢትዮጵያ አንድነት ድርጅት /መኢአድ/ ለጠ/ሚ/ር መለስ ዜናዊ፣ ለብሔራዊ ምርጫ ቦርድ፤ አዲስ አበባ ለሚገኙ የውጭ አገር መንግሥታት ተወካዮችና ለመያዶች ባሳወቀው ደብዳቤ በደቡብ ክልል በሁሉም ዞኖች በተለይ በጋሞ ጐፋ በወላይታና በጌድኦ ዞኖች ለምርጫው የሚያካሂደው እንቅስቃሴ መገታተቱን ገልጿል።
ለጠ/ሚኒስትር,ለጠቅላይ ሚኒስትር,ተከሳሽ አቶ አሰፋ የቦርድ አባል ሆነው ለስድስት ዓመታት ያህል መስራታቸውን ገልጸው እኔ ከቦርድ ከገባሁ በኋላ ስራውን በጋራ የሰራነው መሆኑ የሚታወቅ ነው። በተለይ የተሰራ ጥፋት ካለ አልጠየቅም አልልም ሆኖም ግን የዋስትና መብቴ ተጠብቆ እየተንቀሳቀስኩ መሆን ይገባዋል ብለዋል። አቶ አሰፋ በነዚህ 10 ዓመታት ሀገሬንና መንግሥቴን በቅንነት አገልግያለሁ በሀሳብ በመለያየታችን አለቆቼ በጹሑፍ አሰናብተውኛል። ነገር ግን አሁን ከስድስት ወንድሞቼ ጋር እየተንገላታሁ ነው። በቦርድ ለተሰራው ሥራ የቦርድ አደረጃጀትና ተጠሪነት ለጠ/ሚኒስትር ነው። ቦርዱም የጠ/ሚ/ር አባላት ጽ/ቤት ያሉበት ነው ብለዋል። መርማሪው ለፍ/ቤቱ እንዳስታወቁት የክስ ሂደቱን ያልተነገራቸው ካለው ጊዜ መጣበብ የተነሳ ነው ብለዋል። ከዚህ በኋላም ማስረጃ ወደማሰባሰቡ እንደተገባ ለፍ/ቤቱ አስረድተዋል። መቶ አለቃ አሻግሬ አያሌው አቶ አሰፋ የፕራይቬታይዜሽን ቦርድ ሰብሳቢ በመሆናቸው የሽያጭ ሂደቱ ሕጉን ያልተከተለ ነው የሚል ጥርጣሬ እንዳለ ለፍ/ቤቱ አመልክተዋል።
ለጠ/ሚኒስትርነት,ለጠቅላይ ሚኒስትርነት,አዲሱ ፓርላማ በትናትናው ዕለት ውሎው ጠ/ሚ/ር መለስ ዜናዊን በድጋሚ ለጠ/ሚኒስትርነት መርጧል። ጠ/ሚ/ር መለስን በድጋሚ ጠ/ሚ/ር እንዲሆኑ የመረጡት ምጠ/ሚ/ር ዶ/ር ካሱ ኢላላ ነበሩ። የጠ/ሚ/ር መለስን ሹመት 4 የም/ቤት አባላት ሲቃወሙት ቀሪዎቹና በዕለቱ የነበሩት 503 የም/ቤት አባላት ደግፈውታል።
ለጠ/ፍ/ቤት,ለጠቅላይ ፍርድ ቤት,የፍርድ ቤት ክርክሩ የተጀመረው በደርግ የሥልጣን ዘመን ጀምሮ ከነበረ ችግር ነው። በደርግ የመጨረሻ የሥልጣን ዓመታት በሰሜን ኢትዮጵያ ተከስቶ በነበረው አስከፊ የረሃብ አደጋ የእርዳታ እህል ሲያጓጉዙ ከነበሩት ድርጅቶች አንዱ አማልጋሜትድ ሊሚትድ ነበር። በተለያዩ ወቅቶች በተካሄዱ 24 ስምምነቶች መሠረት አማልጋሜትድ 38 ሚሊዮን 700ሺህ ብር አገኘ። እርሻ ሰብል ገበያ ኮርፖሬሽን ከኢሕአዴግ የመዋቀር ለውጥ በኋላ ወደ ኢንተርፕራይዝ ሲቀየር ውዝግቡ ገፍቶ ወጣ። አዲስ የተቋቋመው ኢንተርፕራይዝ (የቀድሞው እርሻ ሰብል) ከ39 ሚሊዮን 700 ሺህ ብር ውስጥ 2 ሚሊዮን 800 ሺህ የሚሆነው ብር በስህተት እንደተከፈለ በመግለፁና ስምምነት በመታጣቱ ክስ ተጀመረ። ሌሎችም ብሮች ተደማምረው ቀረቡና ከ4 ሚሊዮን ብር ባልበለጠ ገንዘብ ክስ የተጀመረበት አማልጋሜትድ የአሥር ዓመት የገንዘቡ ወለድ ተሰልቶበት 14 ሚሊዮን 800 ሺህ ብር እንዲከፈል ሊጠየቅ ፍቃደኛ ሣይሆን ቀርቶ ያልረታበትን የፍርድ ሂደት ጀመረ። አሁን ንብረቱ በሙሉ ለጨረታ እንዲቀርብ ተወሰነበት። የአማልጋሜትድ ባለሥልጣናት ግን ውሣኔውን በመቃወም ይግባኛቸውን ለጠ/ፍ/ቤት እንደሚያቀርቡ ነው የሚናገሩት።
ለፌ/ም/ቤት,ለፌደራል ምክር ቤት, የጉጂ ኦሮሞዎች በራስ የመተዳደር ጥያቄ ለፌ/ም/ቤት ተመራ
ለፍ/ቤቱ,ለፍርድ ቤቱ,ተከሳሽ አቶ አሰፋ የቦርድ አባል ሆነው ለስድስት ዓመታት ያህል መስራታቸውን ገልጸው እኔ ከቦርድ ከገባሁ በኋላ ስራውን በጋራ የሰራነው መሆኑ የሚታወቅ ነው። በተለይ የተሰራ ጥፋት ካለ አልጠየቅም አልልም ሆኖም ግን የዋስትና መብቴ ተጠብቆ እየተንቀሳቀስኩ መሆን ይገባዋል ብለዋል። አቶ አሰፋ በነዚህ 10 ዓመታት ሀገሬንና መንግሥቴን በቅንነት አገልግያለሁ በሀሳብ በመለያየታችን አለቆቼ በጹሑፍ አሰናብተውኛል። ነገር ግን አሁን ከስድስት ወንድሞቼ ጋር እየተንገላታሁ ነው። በቦርድ ለተሰራው ሥራ የቦርድ አደረጃጀትና ተጠሪነት ለጠ/ሚኒስትር ነው። ቦርዱም የጠ/ሚ/ር አባላት ጽ/ቤት ያሉበት ነው ብለዋል። መርማሪው ለፍ/ቤቱ እንዳስታወቁት የክስ ሂደቱን ያልተነገራቸው ካለው ጊዜ መጣበብ የተነሳ ነው ብለዋል። ከዚህ በኋላም ማስረጃ ወደማሰባሰቡ እንደተገባ ለፍ/ቤቱ አስረድተዋል። መቶ አለቃ አሻግሬ አያሌው አቶ አሰፋ የፕራይቬታይዜሽን ቦርድ ሰብሳቢ በመሆናቸው የሽያጭ ሂደቱ ሕጉን ያልተከተለ ነው የሚል ጥርጣሬ እንዳለ ለፍ/ቤቱ አመልክተዋል።
ለፍ/ቤት,ለፍርድ ቤት,በሌላ ዜና ኢዴፓ ለአራዳ ፍ/ቤት ባቀረበው ክስ የድርጅቱን አመራሮች ከሆኑት አቶ ልደቱ አያሌው እና አቶ ታምራት ታረቀኝን በተመለከተ የፌዴራል ፖሊስ ኮሚሽነር ጉዳዩን ቀርበው ለፍ/ቤት እንዲያስረዱ በአራዳ ፍ/ቤት 3ኛ እና 4ኛ የፍ/ብ/ችሎት ተጠርተዋል።
ለፍ/ክ/ፍ/ቤት,,6. የእኛ ጉዳይ ለፍ/ክ/ፍ/ቤት ቀርቦ መታየት ከጀመረ ከዚህ በላይ እንደተገለፀው ረዥም ጊዜ የወሰደና የፍትህ ሂደት በእጅጉ እየተጓተተ በአማካይ 40 -60 ቀጠሮዎች በፍ/ቤቱ ቢሰጥም እስከ አሁን ውሳኔ በማጣችን፤
